FpML Index Name (floating rate+inflation index),FPML index alias in Moss,LCH Scenario Index Name,CME Scenario Index Name,CCP Scenario Index Name,,Traiana ScenarioFile Index  pool (LCH Dec. 2017),Currency,LCH Scenario Index Name,Default CCP Index
THB-Semi-Annual Swap Rate-11:00-BGCANTOR,,,,,,,,,
THB-Semi-Annual Swap Rate-Reference Banks,,,,,,,,,
THB-THBFIX-Reference Banks,,,,,,,,,
THB-THBFIX-Reuters,,,,,,,,,
TRY Annual Swap Rate-11:00-TRADITION,,,,,,,,,
TRY-Annual Swap Rate-11:15-BGCANTOR,,,,,,,,,
TRY-Annual Swap Rate-Reference Banks,,,,,,,,,
TRY-Semi-Annual Swap Rate-TRADITION-Reference Banks,,,,,,,,,
TRY-TRYIBOR-Reference Banks,,,,,,,,,
TRY-TRYIBOR-Reuters,,,,,,,,,
TWD-Quarterly-Annual Swap Rate-11:00-BGCANTOR,,,,,,,,,
TWD-Quarterly-Annual Swap Rate-Reference Banks,,,,,,,,,
TWD-Reference Dealers,,,,,,,,,
TWD-Reuters-6165,,,,,,,,,
TWD-TAIBIR01,,,,,,,,,
TWD-TAIBIR02,,,,,,,,,
TWD-TAIBOR-Bloomberg,,,,,,,,,
TWD-TAIBOR-Reuters,,,,,,,,,
TWD-Telerate-6165,,,,,,,,,
TWD-TWCPBA,,,,,,,,,
USD-Annual Swap Rate-11:00-BGCANTOR,,,,,,,,,
USD-Annual Swap Rate-11:00-TRADITION,,,,,,,,,
USD-Annual Swap Rate-4:00-TRADITION,,,,,,,,,
USD-BA-H.15,,,,,,,,,
USD-BA-Reference Dealers,,,,,,,,,
USD-BMA Municipal Swap Index,,,,,,,,,
USD-CD-H.15,,,,,,,,,
USD-CD-Reference Dealers,,,,,,,,,
USD-CMS-Reference Banks,,,,,,,,,
USD-CMS-Reference Banks-ICAP SwapPX,,,,,,,,,
USD-CMS-Reuters,,,,,,,,,
USD-CMS-Telerate,,,,,,,,,
USD-CMT-T7051,,,,,,,,,
USD-CMT-T7052,,,,,,,,,
USD-COF11-FHLBSF,,,,,,,,,
USD-COF11-Reuters,,,,,,,,,
USD-COF11-Telerate,,,,,,,,,
USD-CP-H.15,,,,,,,,,
USD-CP-Reference Dealers,,,,,,,,,
USD-FFCB-DISCO,,,,,,,,,
USD-ISDAFIX3-Swap Rate,,,,,,,,,
USD-ISDAFIX3-Swap Rate-3:00,,,,,,,,,
USD-ISDA-Swap Rate,,,,,,,,,
USD-ISDA-Swap Rate-3:00,,,,,,,,,
USD-Municipal Swap Rate-11:00-ICAP,,,,,,,,,
USD-OIS-11:00-BGCANTOR,,,,,,,,,
USD-OIS-11:00-LON-ICAP,,,,,,,,,
USD-OIS-11:00-NY-ICAP,,,,,,,,,
USD-OIS-11:00-TRADITION,,,,,,,,,
USD-OIS-3:00-BGCANTOR,,,,,,,,,
USD-OIS-3:00-NY-ICAP,,,,,,,,,
USD-OIS-4:00-TRADITION,,,,,,,,,
USD-Overnight Bank Funding Rate,,,,,,,,,
USD-Prime-H.15,,,,,,,,,
USD-Prime-Reference Banks,,,,,,,,,
USD-S&P Index-High Grade,,,,,,,,,
USD-SIBOR-Reference Banks,,,,,,,,,
